recall_id,organization,product_name,issue,category,updated_at,data_received_at,issue_category
62668,Canadian Food Inspection Agency,,Peanut,,2021-04-13,2023-11-14 03:12:49.171373,Food
65705,Transport Canada,Car recalled by BMW,Airbag,Car,2021-04-13,2023-11-14 03:12:49.171373,Vehicles
62340,Health Canada,,Product safety,Drugs,2021-04-13,2023-11-14 03:12:49.171373,Health product
65654,Transport Canada,SUV recalled by MERCEDES-BENZ,Structure,SUV,2021-04-13,2023-11-14 03:12:49.171373,Vehicles
62341,Health Canada,,Product safety,Drugs,2021-04-13,2023-11-14 03:12:49.171373,Health product
62664,Canadian Food Inspection Agency,,Sulphites,,2021-04-13,2023-11-14 03:12:49.171373,Food
62665,Canadian Food Inspection Agency,,Tree nut,,2021-04-13,2023-11-14 03:12:49.171373,Food
65691,Transport Canada,Motorhome recalled by REV RECREATION GROUP,Brakes,Motorhome,2021-04-12,2023-11-14 03:12:49.171373,Vehicles
62281,Health Canada,,,Sports and fitness,2021-04-12,2023-11-14 03:12:49.171373,Consumer product
62662,Canadian Food Inspection Agency,,Wheat,,2021-04-11,2023-11-14 03:12:49.171373,Food
65830,Transport Canada,SUV recalled by NISSAN,Lights And Instruments,SUV,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
66493,Transport Canada,Car recalled by FIAT CHRYSLER AUTOMOBILES,Airbag,Car,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
65671,Transport Canada,RV Chassis recalled by FORD,Powertrain,"RV Chassis, Vehicles - Truck - Med. & H.D.",2021-04-09,2023-11-14 03:12:49.171373,Vehicles
65663,Transport Canada,Truck - Med. & H.D. recalled by NAVISTAR,Brakes,Truck - Med. & H.D.,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
65820,Transport Canada,SUV recalled by NISSAN,Label,SUV,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
62314,Health Canada,,Suspected quality concern,Cannabis,2021-04-09,2023-11-14 03:12:49.171373,Consumer product
67262,Transport Canada,SUV recalled by FIAT CHRYSLER AUTOMOBILES,Fuel Supply,SUV,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
65662,Transport Canada,Truck - Med. & H.D. recalled by NAVISTAR,Brakes,Truck - Med. & H.D.,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
65893,Transport Canada,Light Truck & Van recalled by NISSAN,Electrical,Light Truck & Van,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
62660,Canadian Food Inspection Agency,,,,2021-04-09,2023-11-14 03:12:49.171373,Food
65710,Transport Canada,SUV recalled by NISSAN,Suspension,SUV,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
65695,Transport Canada,SUV recalled by NISSAN,Wheels,SUV,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
65788,Transport Canada,SUV recalled by HYUNDAI,Fuel Supply,SUV,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
66919,Transport Canada,Car recalled by FIAT CHRYSLER AUTOMOBILES,Powertrain,Car,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
66676,Transport Canada,Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES,Structure,Light Truck & Van,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
65736,Transport Canada,Car recalled by NISSAN,Steering,Car,2021-04-09,2023-11-14 03:12:49.171373,Vehicles
62661,Canadian Food Inspection Agency,,,,2021-04-09,2023-11-14 03:12:49.171373,Food
65690,Transport Canada,Truck - Med. & H.D. recalled by ISUZU,Suspension,Truck - Med. & H.D.,2021-04-08,2023-11-14 03:12:49.171373,Vehicles
67953,Transport Canada,SUV recalled by FIAT CHRYSLER AUTOMOBILES,Engine,SUV,2021-04-08,2023-11-14 03:12:49.171373,Vehicles
62313,Health Canada,,,Specialized products,2021-04-08,2023-11-14 03:12:49.171373,Consumer product
66442,Transport Canada,Car recalled by TOYOTA,Airbag,"Car, Vehicles - SUV",2021-04-08,2023-11-14 03:12:49.171373,Vehicles
65875,Transport Canada,Truck - Med. & H.D. recalled by ROSENBAUER,Visual System,Truck - Med. & H.D.,2021-04-08,2023-11-14 03:12:49.171373,Vehicles
62315,Health Canada,,Medical devices,Medical device,2021-04-08,2023-11-14 03:12:49.171373,Health product
62317,Health Canada,,Medical devices,Medical device,2021-04-08,2023-11-14 03:12:49.171373,Health product
62316,Health Canada,,Medical devices,Medical device,2021-04-08,2023-11-14 03:12:49.171373,Health product
62318,Health Canada,,Medical devices,Medical device,2021-04-08,2023-11-14 03:12:49.171373,Health product
62319,Health Canada,,Medical devices,Medical device,2021-04-08,2023-11-14 03:12:49.171373,Health product
62320,Health Canada,,Medical devices,Medical device,2021-04-08,2023-11-14 03:12:49.171373,Health product
62321,Health Canada,,Medical devices,Medical device,2021-04-08,2023-11-14 03:12:49.171373,Health product
62323,Health Canada,,Medical devices,Medical device,2021-04-08,2023-11-14 03:12:49.171373,Health product
65860,Transport Canada,Motorcycle recalled by YAMAHA,Label,Motorcycle,2021-04-08,2023-11-14 03:12:49.171373,Vehicles
66432,Transport Canada,Low Speed Vehicle recalled by YAMAHA,Wheels,Low Speed Vehicle,2021-04-08,2023-11-14 03:12:49.171373,Vehicles
62663,Canadian Food Inspection Agency,,,,2021-04-07,2023-11-14 03:12:49.171373,Food
62285,Health Canada,,Chemical hazard,Toys and games,2021-04-07,2023-11-14 03:12:49.171373,Consumer product
65670,Transport Canada,Motorcycle recalled by DUCATI,Engine,Motorcycle,2021-04-07,2023-11-14 03:12:49.171373,Vehicles
65669,Transport Canada,Child Car Seat recalled by DIONO,Seats And Restraints,Child Car Seat,2021-04-07,2023-11-14 03:12:49.171373,Vehicles
65688,Transport Canada,Car recalled by MERCEDES-BENZ,Structure,"Car, Vehicles - SUV",2021-04-07,2023-11-14 03:12:49.171373,Vehicles
62308,Health Canada,,Laceration hazard,Household items,2021-04-07,2023-11-14 03:12:49.171373,Consumer product
68076,Transport Canada,Competition Vehicle recalled by HONDA,Powertrain,Competition Vehicle,2021-04-07,2023-11-14 03:12:49.171373,Vehicles
62277,Health Canada,,Flammability hazard,Household items,2021-04-07,2023-11-14 03:12:49.171373,Consumer products
62327,Health Canada,,Product safety,Drugs,2021-04-06,2023-11-14 03:12:49.171373,Health product
62361,Health Canada,,Product safety,Drugs,2021-04-06,2023-11-14 03:12:49.171373,Health product
62329,Health Canada,,Product safety,Drugs,2021-04-06,2023-11-14 03:12:49.171373,Health product
62359,Health Canada,,Product safety,Drugs,2021-04-06,2023-11-14 03:12:49.171373,Health product
62655,Canadian Food Inspection Agency,,,,2021-04-06,2023-11-14 03:12:49.171373,Food
66626,Transport Canada,School Bus recalled by BLUE BIRD,Structure,School Bus,2021-04-06,2023-11-14 03:12:49.171373,Vehicles
62362,Health Canada,,Product safety,Drugs,2021-04-06,2023-11-14 03:12:49.171373,Health product
62328,Health Canada,,Product safety,Drugs,2021-04-06,2023-11-14 03:12:49.171373,Health product
62257,Health Canada,,Fire hazard,Household items,2021-04-06,2023-11-14 03:12:49.171373,Consumer product
62326,Health Canada,,COVID,Natural health products,2021-04-05,2023-11-14 03:12:49.171373,Health product
62656,Canadian Food Inspection Agency,,,,2021-04-02,2023-11-14 03:12:49.171373,Food
62654,Canadian Food Inspection Agency,,,Other,2021-04-02,2023-11-14 03:12:49.171373,Food
62307,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
65673,Transport Canada,Car recalled by MERCEDES-BENZ,Electrical,Car,2021-04-01,2023-11-14 03:12:49.171373,Vehicles
62653,Canadian Food Inspection Agency,,,Other,2021-04-01,2023-11-14 03:12:49.171373,Food
62302,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
65685,Transport Canada,Car recalled by PORSCHE,Engine,Car,2021-04-01,2023-11-14 03:12:49.171373,Vehicles
62306,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62303,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62290,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62291,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62292,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
65799,Transport Canada,SUV recalled by MERCEDES-BENZ,Lights And Instruments,SUV,2021-04-01,2023-11-14 03:12:49.171373,Vehicles
62293,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62305,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62304,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62294,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62296,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62297,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62298,Health Canada,,Medical devices,Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62301,Health Canada,,"COVID, Medical devices",Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62299,Health Canada,,"COVID, Medical devices",Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62300,Health Canada,,"COVID, Medical devices",Medical device,2021-04-01,2023-11-14 03:12:49.171373,Health product
62279,Health Canada,,,Household items,2021-04-01,2023-11-14 03:12:49.171373,Consumer products
62659,Canadian Food Inspection Agency,,,,2021-03-31,2023-11-14 03:12:49.171373,Food
62295,Health Canada,,,Drugs,2021-03-31,2023-11-14 03:12:49.171373,Health product
62284,Health Canada,,"COVID, Product safety",Biologic or vaccine,2021-03-31,2023-11-14 03:12:49.171373,Health product
62652,Canadian Food Inspection Agency,,,Other,2021-03-30,2023-11-14 03:12:49.171373,Food
62657,Canadian Food Inspection Agency,,Extraneous Material,,2021-03-30,2023-11-14 03:12:49.171373,Food
62651,Canadian Food Inspection Agency,,,,2021-03-30,2023-11-14 03:12:49.171373,Food
62310,Health Canada,,COVID,Natural health products,2021-03-30,2023-11-14 03:12:49.171373,Health product
62312,Health Canada,,COVID,Natural health products,2021-03-30,2023-11-14 03:12:49.171373,Health product
62278,Health Canada,,Chemical hazard,Chemicals,2021-03-29,2023-11-14 03:12:49.171373,Consumer product
65699,Transport Canada,Motorhome recalled by NEWMAR,Brakes,Motorhome,2021-03-29,2023-11-14 03:12:49.171373,Vehicles
62322,Health Canada,,Product safety,Drugs,2021-03-29,2023-11-14 03:12:49.171373,Health product
62650,Canadian Food Inspection Agency,,,,2021-03-26,2023-11-14 03:12:49.171373,Food
62649,Health Canada,,,Other,2021-03-26,2023-11-14 03:12:49.171373,Food
65692,Transport Canada,Light Truck & Van recalled by GENERAL MOTORS,Electrical,Light Truck & Van,2021-03-26,2023-11-14 03:12:49.171373,Vehicles
65693,Transport Canada,SUV recalled by GENERAL MOTORS,Seats And Restraints,SUV,2021-03-26,2023-11-14 03:12:49.171373,Vehicles
62259,Health Canada,,Labelling and packaging,Cannabis,2021-03-26,2023-11-14 03:12:49.171373,Consumer product
65708,Transport Canada,Truck - Med. & H.D. recalled by CRESTLINE,Seats And Restraints,Truck - Med. & H.D.,2021-03-25,2023-11-14 03:12:49.171373,Vehicles
62269,Health Canada,,Medical devices,Medical device,2021-03-25,2023-11-14 03:12:49.171373,Health product
62272,Health Canada,,Medical devices,Medical device,2021-03-25,2023-11-14 03:12:49.171373,Health product
62271,Health Canada,,Medical devices,Medical device,2021-03-25,2023-11-14 03:12:49.171373,Health product
62270,Health Canada,,Medical devices,Medical device,2021-03-25,2023-11-14 03:12:49.171373,Health product
62268,Health Canada,,Medical devices,Medical device,2021-03-25,2023-11-14 03:12:49.171373,Health product
62267,Health Canada,,Medical devices,Medical device,2021-03-25,2023-11-14 03:12:49.171373,Health product
65702,Transport Canada,Light Truck & Van recalled by FIAT CHRYSLER AUTOMOBILES,Brakes,Light Truck & Van,2021-03-25,2023-11-14 03:12:49.171373,Vehicles
62266,Health Canada,,Medical devices,Medical device,2021-03-25,2023-11-14 03:12:49.171373,Health product
62641,Canadian Food Inspection Agency,,,Other,2021-03-24,2023-11-14 03:12:49.171373,Food
62274,Health Canada,,"COVID, Product safety",Biologic or vaccine,2021-03-24,2023-11-14 03:12:49.171373,Health product
62283,Health Canada,,COVID,Natural health products,2021-03-24,2023-11-14 03:12:49.171373,Health product
62282,Health Canada,,COVID,Natural health products,2021-03-24,2023-11-14 03:12:49.171373,Health product
65769,Transport Canada,Tire recalled by COOPER TIRE,Tires,Tire,2021-03-24,2023-11-14 03:12:49.171373,Vehicles
65738,Transport Canada,A.T.V. recalled by POLARIS,Engine,A.T.V.,2021-03-24,2023-11-14 03:12:49.171373,Vehicles
62658,Canadian Food Inspection Agency,,Sesame seeds,,2021-03-24,2023-11-14 03:12:49.171373,Food
65773,Transport Canada,Bus recalled by BLUE BIRD,Brakes,Bus,2021-03-24,2023-11-14 03:12:49.171373,Vehicles
62273,Health Canada,,,Household items,2021-03-24,2023-11-14 03:12:49.171373,Consumer products
66083,Transport Canada,Motorhome recalled by THOR MOTOR COACH,Electrical,Motorhome,2021-03-24,2023-11-14 03:12:49.171373,Vehicles
61387,Health Canada,,"COVID, Product safety",Natural health products,2021-03-24,2023-11-14 03:12:49.171373,Health product
65774,Transport Canada,School Bus recalled by BLUE BIRD,Brakes,School Bus,2021-03-24,2023-11-14 03:12:49.171373,Vehicles
62286,Health Canada,,COVID,Natural health products,2021-03-23,2023-11-14 03:12:49.171373,Health product
62287,Health Canada,,COVID,Natural health products,2021-03-23,2023-11-14 03:12:49.171373,Health product
62264,Health Canada,,Medical devices,Medical device,2021-03-23,2023-11-14 03:12:49.171373,Health product
62263,Health Canada,,Medical devices,Medical device,2021-03-23,2023-11-14 03:12:49.171373,Health product
65722,Transport Canada,Car recalled by PORSCHE,Suspension,Car,2021-03-23,2023-11-14 03:12:49.171373,Vehicles
65732,Transport Canada,SUV recalled by FORD,Structure,SUV,2021-03-23,2023-11-14 03:12:49.171373,Vehicles
65728,Transport Canada,SUV recalled by MERCEDES-BENZ,Engine,SUV,2021-03-23,2023-11-14 03:12:49.171373,Vehicles
62643,Canadian Food Inspection Agency,,Sulphites,,2021-03-23,2023-11-14 03:12:49.171373,Food
65712,Transport Canada,SUV recalled by FORD,Suspension,SUV,2021-03-23,2023-11-14 03:12:49.171373,Vehicles
62288,Health Canada,,COVID,Drugs,2021-03-23,2023-11-14 03:12:49.171373,Health product
62258,Health Canada,,,Household items,2021-03-23,2023-11-14 03:12:49.171373,Consumer products
62260,Health Canada,,Chemical hazard,Jewellery,2021-03-22,2023-11-14 03:12:49.171373,Consumer product
62275,Health Canada,,Product safety,Drugs,2021-03-22,2023-11-14 03:12:49.171373,Health product
62236,Health Canada,,,Household items,2021-03-22,2023-11-14 03:12:49.171373,Consumer products
62647,Canadian Food Inspection Agency,,,,2021-03-20,2023-11-14 03:12:49.171373,Food
62638,Canadian Food Inspection Agency,,,,2021-03-20,2023-11-14 03:12:49.171373,Food
62644,Canadian Food Inspection Agency,,Mustard,,2021-03-20,2023-11-14 03:12:49.171373,Food
62642,Canadian Food Inspection Agency,,,,2021-03-19,2023-11-14 03:12:49.171373,Food
62646,Canadian Food Inspection Agency,,,,2021-03-19,2023-11-14 03:12:49.171373,Food
62637,Canadian Food Inspection Agency,,,Other,2021-03-19,2023-11-14 03:12:49.171373,Food
62636,Canadian Food Inspection Agency,,Milk,,2021-03-19,2023-11-14 03:12:49.171373,Food
62648,Canadian Food Inspection Agency,,Milk,,2021-03-19,2023-11-14 03:12:49.171373,Food
61433,Health Canada,,"COVID, Product safety",Medical device,2021-03-19,2023-11-14 03:12:49.171373,Health product
62639,Canadian Food Inspection Agency,,Extraneous Material,,2021-03-19,2023-11-14 03:12:49.171373,Food
62261,Health Canada,,"COVID, Product safety",Medical device,2021-03-19,2023-11-14 03:12:49.171373,Health product
62244,Health Canada,,,Jewellery,2021-03-19,2023-11-14 03:12:49.171373,Consumer products
62645,Canadian Food Inspection Agency,,,,2021-03-19,2023-11-14 03:12:49.171373,Food
62251,Health Canada,,Medical devices,Medical device,2021-03-18,2023-11-14 03:12:49.171373,Health product
62635,Canadian Food Inspection Agency,,Milk,,2021-03-18,2023-11-14 03:12:49.171373,Food
62640,Canadian Food Inspection Agency,,,,2021-03-18,2023-11-14 03:12:49.171373,Food
62245,Health Canada,,Medical devices,Medical device,2021-03-18,2023-11-14 03:12:49.171373,Health product
62246,Health Canada,,Medical devices,Medical device,2021-03-18,2023-11-14 03:12:49.171373,Health product
62253,Health Canada,,Laceration hazard,Toys and games,2021-03-18,2023-11-14 03:12:49.171373,Consumer product
62252,Health Canada,,Medical devices,Medical device,2021-03-18,2023-11-14 03:12:49.171373,Health product
62247,Health Canada,,Medical devices,Medical device,2021-03-18,2023-11-14 03:12:49.171373,Health product
62250,Health Canada,,Medical devices,Medical device,2021-03-18,2023-11-14 03:12:49.171373,Health product
62254,Health Canada,,,"Household items, Consumer product - Specialized products",2021-03-18,2023-11-14 03:12:49.171373,Consumer product
62249,Health Canada,,Medical devices,Medical device,2021-03-18,2023-11-14 03:12:49.171373,Health product
62255,Health Canada,,Chemical hazard,Jewellery,2021-03-18,2023-11-14 03:12:49.171373,Consumer products
62248,Health Canada,,Medical devices,Medical device,2021-03-18,2023-11-14 03:12:49.171373,Health product
65751,Transport Canada,SUV recalled by LAND ROVER,Lights And Instruments,SUV,2021-03-17,2023-11-14 03:12:49.171373,Vehicles
65752,Transport Canada,SUV recalled by JAGUAR,Lights And Instruments,SUV,2021-03-17,2023-11-14 03:12:49.171373,Vehicles
62241,Health Canada,,,Household items,2021-03-17,2023-11-14 03:12:49.171373,Consumer product
65717,Transport Canada,SUV recalled by LAND ROVER,Airbag,SUV,2021-03-17,2023-11-14 03:12:49.171373,Vehicles
62240,Health Canada,,Fire hazard,Outdoor living,2021-03-17,2023-11-14 03:12:49.171373,Consumer product
65729,Transport Canada,Truck - Med. & H.D. recalled by MACK,Lights And Instruments,Truck - Med. & H.D.,2021-03-17,2023-11-14 03:12:49.171373,Vehicles
62242,Health Canada,,,Chemicals,2021-03-17,2023-11-14 03:12:49.171373,Consumer product
65733,Transport Canada,Truck - Med. & H.D. recalled by VOLVO TRUCKS,Lights And Instruments,Truck - Med. & H.D.,2021-03-17,2023-11-14 03:12:49.171373,Vehicles
62243,Health Canada,,Medical devices,Medical device,2021-03-16,2023-11-14 03:12:49.171373,Health product
62634,Health Canada,,,Other,2021-03-16,2023-11-14 03:12:49.171373,Food
65730,Transport Canada,Car recalled by KIA,Electrical,"Car, Vehicles - SUV",2021-03-15,2023-11-14 03:12:49.171373,Vehicles
62265,Health Canada,,COVID,Natural health products,2021-03-15,2023-11-14 03:12:49.171373,Health product
62633,Canadian Food Inspection Agency,,Mustard,,2021-03-13,2023-11-14 03:12:49.171373,Food
62235,Health Canada,,Chemical hazard,Jewellery,2021-03-12,2023-11-14 03:12:49.171373,Consumer products
62631,Health Canada,,,Other,2021-03-12,2023-11-14 03:12:49.171373,Food
62632,Canadian Food Inspection Agency,,,Other,2021-03-12,2023-11-14 03:12:49.171373,Food
62262,Health Canada,,COVID,Natural health products,2021-03-12,2023-11-14 03:12:49.171373,Health product
62234,Health Canada,,Chemical hazard,Clothing and accessories,2021-03-12,2023-11-14 03:12:49.171373,Consumer products
62233,Health Canada,,Chemical hazard,Chemicals,2021-03-11,2023-11-14 03:12:49.171373,Consumer product
62630,Canadian Food Inspection Agency,,,Other,2021-03-11,2023-11-14 03:12:49.171373,Food
62239,Health Canada,,COVID,,2021-03-11,2023-11-14 03:12:49.171373,Health product
62228,Health Canada,,Medical devices,Medical device,2021-03-11,2023-11-14 03:12:49.171373,Health product
62231,Health Canada,,Medical devices,Medical device,2021-03-11,2023-11-14 03:12:49.171373,Health product
67108,Transport Canada,Car recalled by HYUNDAI,Structure,Car,2021-03-11,2023-11-14 03:12:49.171373,Vehicles
67874,Transport Canada,Car recalled by HYUNDAI,Brakes,Car,2021-03-11,2023-11-14 03:12:49.171373,Vehicles
62229,Health Canada,,Medical devices,Medical device,2021-03-11,2023-11-14 03:12:49.171373,Health product
62227,Health Canada,,Medical devices,Medical device,2021-03-11,2023-11-14 03:12:49.171373,Health product
62230,Health Canada,,"COVID, Medical devices",Medical device,2021-03-11,2023-11-14 03:12:49.171373,Health product
62232,Health Canada,,Medical devices,Medical device,2021-03-11,2023-11-14 03:12:49.171373,Health product
65742,Transport Canada,SUV recalled by MERCEDES-BENZ,Tires,SUV,2021-03-10,2023-11-14 03:12:49.171373,Vehicles
65743,Transport Canada,RV Trailer recalled by FOREST RIVER,Structure,RV Trailer,2021-03-10,2023-11-14 03:12:49.171373,Vehicles
65748,Transport Canada,School Bus recalled by DAIMLER TRUCK NORTH AMERICA,Powertrain,School Bus,2021-03-10,2023-11-14 03:12:49.171373,Vehicles
65750,Transport Canada,Light Truck & Van recalled by GENERAL MOTORS,Tires,"Light Truck & Van, Vehicles - SUV",2021-03-09,2023-11-14 03:12:49.171373,Vehicles
62256,Health Canada,,COVID,Natural health products,2021-03-08,2023-11-14 03:12:49.171373,Health product
62226,Health Canada,,,Natural health products,2021-03-08,2023-11-14 03:12:49.171373,Health product
62118,Health Canada,,"COVID, Product safety",Biologic or vaccine,2021-03-08,2023-11-14 03:12:49.171373,Health product
65812,Transport Canada,Car recalled by MERCEDES-BENZ,Accessories,"Car, Vehicles - SUV",2021-03-08,2023-11-14 03:12:49.171373,Vehicles
62223,Health Canada,,"COVID, Product safety",Biologic or vaccine,2021-03-08,2023-11-14 03:12:49.171373,Health product
62628,Canadian Food Inspection Agency,,,,2021-03-08,2023-11-14 03:12:49.171373,Food
62629,Canadian Food Inspection Agency,,,,2021-03-05,2023-11-14 03:12:49.171373,Food
62627,Canadian Food Inspection Agency,,Milk,,2021-03-05,2023-11-14 03:12:49.171373,Food
62224,Health Canada,,Product safety,Natural health products,2021-03-05,2023-11-14 03:12:49.171373,Health product
62117,Health Canada,,,"Drugs, Health product - Natural health products",2021-03-05,2023-11-14 03:12:49.171373,Health product
62103,Health Canada,,,Natural health products,2021-03-05,2023-11-14 03:12:49.171373,Health product
65756,Transport Canada,Car recalled by VOLKSWAGEN,Powertrain,Car,2021-03-05,2023-11-14 03:12:49.171373,Vehicles
62116,Health Canada,,,Chemicals,2021-03-04,2023-11-14 03:12:49.171373,Consumer products
62113,Health Canada,,Medical devices,Medical device,2021-03-04,2023-11-14 03:12:49.171373,Health product
62114,Health Canada,,Medical devices,Medical device,2021-03-04,2023-11-14 03:12:49.171373,Health product
62115,Health Canada,,Medical devices,Medical device,2021-03-04,2023-11-14 03:12:49.171373,Health product
65749,Transport Canada,Equipment recalled by VERMEER,Structure,Equipment,2021-03-03,2023-11-14 03:12:49.171373,Vehicles
65758,Transport Canada,Truck - Med. & H.D. recalled by NAVISTAR,Powertrain,Truck - Med. & H.D.,2021-03-03,2023-11-14 03:12:49.171373,Vehicles
65747,Transport Canada,Car recalled by LAMBORGHINI,Structure,Car,2021-03-03,2023-11-14 03:12:49.171373,Vehicles
65786,Transport Canada,SUV recalled by VOLKSWAGEN,Airbag,SUV,2021-03-03,2023-11-14 03:12:49.171373,Vehicles
65746,Transport Canada,Truck - Med. & H.D. recalled by ROSENBAUER,Steering,Truck - Med. & H.D.,2021-03-03,2023-11-14 03:12:49.171373,Vehicles
62238,Health Canada,,Product safety,Natural health products,2021-03-03,2023-11-14 03:12:49.171373,Health product
65780,Transport Canada,Motorhome recalled by NEWMAR,Steering,Motorhome,2021-03-03,2023-11-14 03:12:49.171373,Vehicles
65772,Transport Canada,SUV recalled by FORD,Suspension,SUV,2021-03-03,2023-11-14 03:12:49.171373,Vehicles
65764,Transport Canada,SUV recalled by MERCEDES-BENZ,Brakes,SUV,2021-03-03,2023-11-14 03:12:49.171373,Vehicles
65777,Transport Canada,Light Truck & Van recalled by MERCEDES-BENZ,Visual System,Light Truck & Van,2021-03-03,2023-11-14 03:12:49.171373,Vehicles
65784,Transport Canada,Truck - Med. & H.D. recalled by PACCAR,Powertrain,Truck - Med. & H.D.,2021-03-02,2023-11-14 03:12:49.171373,Vehicles
65762,Transport Canada,SUV recalled by MAZDA,Wheels,SUV,2021-03-02,2023-11-14 03:12:49.171373,Vehicles
65781,Transport Canada,A.T.V. recalled by POLARIS,Suspension,A.T.V.,2021-03-02,2023-11-14 03:12:49.171373,Vehicles
65790,Transport Canada,Truck - Med. & H.D. recalled by DAIMLER TRUCK NORTH AMERICA,Powertrain,Truck - Med. & H.D.,2021-03-02,2023-11-14 03:12:49.171373,Vehicles
62119,Health Canada,,"Product safety, COVID",Drugs,2021-03-01,2023-11-14 03:12:49.171373,Health product
62111,Health Canada,,"COVID, Product safety",Biologic or vaccine,2021-03-01,2023-11-14 03:12:49.171373,Health product
62112,Health Canada,,COVID,Biologic or vaccine,2021-03-01,2023-11-14 03:12:49.171373,Health product
62221,Canadian Food Inspection Agency,,,,2021-02-27,2023-11-14 03:12:49.171373,Food
62222,Canadian Food Inspection Agency,,Milk,,2021-02-27,2023-11-14 03:12:49.171373,Food
62107,Health Canada,,Medical devices,Medical device,2021-02-26,2023-11-14 03:12:49.171373,Health product
62108,Health Canada,,Medical devices,Medical device,2021-02-26,2023-11-14 03:12:49.171373,Health product
62106,Health Canada,,Labelling and packaging,Cannabis,2021-02-26,2023-11-14 03:12:49.171373,Consumer product
65767,Transport Canada,RV Trailer recalled by JAYCO,Tires,RV Trailer,2021-02-26,2023-11-14 03:12:49.171373,Vehicles
65775,Transport Canada,Car recalled by BMW,Visual System,"Car, Vehicles - SUV",2021-02-26,2023-11-14 03:12:49.171373,Vehicles
62225,Health Canada,,Product safety,Drugs,2021-02-26,2023-11-14 03:12:49.171373,Health product
65783,Transport Canada,Motorhome recalled by NEWMAR,Brakes,Motorhome,2021-02-26,2023-11-14 03:12:49.171373,Vehicles
65779,Transport Canada,Car recalled by BMW,Structure,Car,2021-02-26,2023-11-14 03:12:49.171373,Vehicles
62110,Health Canada,,,Household items,2021-02-26,2023-11-14 03:12:49.171373,Consumer product
62109,Health Canada,,Medical devices,Medical device,2021-02-26,2023-11-14 03:12:49.171373,Health product
62220,Canadian Food Inspection Agency,,Milk,,2021-02-25,2023-11-14 03:12:49.171373,Food
66125,Transport Canada,School Bus recalled by DAIMLER TRUCK NORTH AMERICA,Brakes,School Bus,2021-02-25,2023-11-14 03:12:49.171373,Vehicles
62105,Health Canada,,Choking hazard,Other,2021-02-25,2023-11-14 03:12:49.171373,Consumer products
66460,Transport Canada,A.T.V. recalled by POLARIS,Seats And Restraints,A.T.V.,2021-02-25,2023-11-14 03:12:49.171373,Vehicles
66141,Transport Canada,A.T.V. recalled by POLARIS,Seats And Restraints,"A.T.V., Vehicles - Equipment",2021-02-25,2023-11-14 03:12:49.171373,Vehicles
66595,Transport Canada,Car recalled by SUBARU,Engine,Car,2021-02-24,2023-11-14 03:12:49.171373,Vehicles
69047,Transport Canada,SUV recalled by SUBARU,Structure,SUV,2021-02-24,2023-11-14 03:12:49.171373,Vehicles
65867,Transport Canada,SUV recalled by FORD,Engine,SUV,2021-02-24,2023-11-14 03:12:49.171373,Vehicles
61991,Health Canada,,Fire hazard,Household items,2021-02-24,2023-11-14 03:12:49.171373,Consumer product
62098,Health Canada,,Labelling and packaging,Cannabis,2021-02-23,2023-11-14 03:12:49.171373,Consumer product
65787,Transport Canada,Motorcycle recalled by ROYAL ENFIELD,Brakes,Motorcycle,2021-02-23,2023-11-14 03:12:49.171373,Vehicles
